@relation poker-hand-training-true

@attribute 'Farbe Karte 1' {Herz,Pik,Karo,Kreuz}
@attribute 'Wert Karte 1' numeric
@attribute 'Farbe Karte 2' {Herz,Pik,Karo,Kreuz}
@attribute 'Wert Karte 2' numeric
@attribute 'Farbe Karte 3' {Herz,Pik,Karo,Kreuz}
@attribute 'Wert Karte 3' numeric
@attribute 'Farbe Karte 4' {Herz,Pik,Karo,Kreuz}
@attribute 'Wert Karte 4' numeric
@attribute 'Farbe Karte 5' {Herz,Pik,Karo,Kreuz}
@attribute 'Wert Karte 5' numeric
@attribute 'Poker Hand' {'Royal Flush','Straight Flush','Ein Paar','Hoechste Karte',Strasse,Drilling,'Zwei Paar',Flush,'Full House',Vierling}

@data
Herz,10,Herz,11,Herz,13,Herz,12,Herz,1,'Royal Flush'
Pik,11,Pik,13,Pik,10,Pik,12,Pik,1,'Royal Flush'
Karo,12,Karo,11,Karo,13,Karo,10,Karo,1,'Royal Flush'
Kreuz,10,Kreuz,11,Kreuz,1,Kreuz,13,Kreuz,12,'Royal Flush'
Kreuz,1,Kreuz,13,Kreuz,12,Kreuz,11,Kreuz,10,'Royal Flush'
Herz,2,Herz,4,Herz,5,Herz,3,Herz,6,'Straight Flush'
Herz,9,Herz,12,Herz,10,Herz,11,Herz,13,'Straight Flush'
Pik,1,Pik,2,Pik,3,Pik,4,Pik,5,'Straight Flush'
Karo,5,Karo,6,Karo,9,Karo,7,Karo,8,'Straight Flush'
Kreuz,1,Kreuz,4,Kreuz,2,Kreuz,3,Kreuz,5,'Straight Flush'
Herz,1,Pik,1,Karo,9,Herz,5,Pik,3,'Ein Paar'
Pik,6,Pik,1,Kreuz,13,Pik,4,Kreuz,9,'Hoechste Karte'
Herz,10,Kreuz,6,Herz,2,Herz,1,Karo,8,'Hoechste Karte'
Pik,13,Pik,1,Kreuz,4,Herz,5,Pik,11,'Hoechste Karte'
Karo,8,Kreuz,12,Karo,9,Kreuz,2,Karo,2,'Ein Paar'
Herz,3,Kreuz,7,Herz,5,Pik,4,Kreuz,13,'Hoechste Karte'
Herz,4,Herz,1,Herz,3,Karo,5,Karo,2,Strasse
Karo,8,Karo,12,Pik,7,Pik,6,Herz,2,'Hoechste Karte'
Kreuz,8,Herz,11,Kreuz,6,Karo,2,Kreuz,12,'Hoechste Karte'
Karo,7,Pik,7,Kreuz,11,Herz,12,Karo,1,'Ein Paar'
Herz,13,Kreuz,8,Pik,7,Pik,10,Karo,13,'Ein Paar'
Pik,6,Pik,8,Herz,11,Herz,4,Karo,7,'Hoechste Karte'
Karo,10,Pik,10,Kreuz,5,Herz,2,Karo,8,'Ein Paar'
Pik,1,Karo,13,Kreuz,6,Herz,9,Kreuz,1,'Ein Paar'
